Date,Player,Player_Type,Target,Line,Over_Price,Under_Price,Bookmaker,Provider,Market_Player_Norm,Market_Fetched_At_UTC,Market_Event_ID,Market_Commence_Time_UTC,Market_Home_Team,Market_Away_Team,Market_Name
2026-04-09,Jake McCarthy,hitter,HR,0.5,1100.0,,Caesars,covers,Jake_McCarthy,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Jake McCarthy,hitter,HR,0.5,1100.0,,DraftKings,covers,Jake_McCarthy,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Jake McCarthy,hitter,HR,0.5,1200.0,,FanDuel,covers,Jake_McCarthy,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Hunter Goodman,hitter,HR,0.5,390.0,,BetMGM,covers,Hunter_Goodman,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Hunter Goodman,hitter,HR,0.5,400.0,,Caesars,covers,Hunter_Goodman,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Hunter Goodman,hitter,HR,0.5,474.0,,DraftKings,covers,Hunter_Goodman,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Hunter Goodman,hitter,HR,0.5,490.0,,FanDuel,covers,Hunter_Goodman,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Nick Castellanos,hitter,HR,0.5,600.0,,BetMGM,covers,Nick_Castellanos,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Nick Castellanos,hitter,HR,0.5,575.0,,Caesars,covers,Nick_Castellanos,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Nick Castellanos,hitter,HR,0.5,610.0,,DraftKings,covers,Nick_Castellanos,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Nick Castellanos,hitter,HR,0.5,680.0,,FanDuel,covers,Nick_Castellanos,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Freddy Fermin,hitter,HR,0.5,900.0,,BetMGM,covers,Freddy_Fermin,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Freddy Fermin,hitter,HR,0.5,950.0,,Caesars,covers,Freddy_Fermin,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Freddy Fermin,hitter,HR,0.5,1060.0,,DraftKings,covers,Freddy_Fermin,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Freddy Fermin,hitter,HR,0.5,1120.0,,FanDuel,covers,Freddy_Fermin,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Ty France,hitter,HR,0.5,850.0,,Caesars,covers,Ty_France,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Ty France,hitter,HR,0.5,810.0,,DraftKings,covers,Ty_France,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Ty France,hitter,HR,0.5,920.0,,FanDuel,covers,Ty_France,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Mickey Moniak,hitter,HR,0.5,425.0,,BetMGM,covers,Mickey_Moniak,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Mickey Moniak,hitter,HR,0.5,425.0,,Caesars,covers,Mickey_Moniak,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Mickey Moniak,hitter,HR,0.5,450.0,,DraftKings,covers,Mickey_Moniak,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Mickey Moniak,hitter,HR,0.5,490.0,,FanDuel,covers,Mickey_Moniak,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Jake Cronenworth,hitter,HR,0.5,525.0,,BetMGM,covers,Jake_Cronenworth,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Jake Cronenworth,hitter,HR,0.5,575.0,,Caesars,covers,Jake_Cronenworth,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Jake Cronenworth,hitter,HR,0.5,650.0,,DraftKings,covers,Jake_Cronenworth,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Jake Cronenworth,hitter,HR,0.5,680.0,,FanDuel,covers,Jake_Cronenworth,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Ezequiel Tovar,hitter,HR,0.5,600.0,,BetMGM,covers,Ezequiel_Tovar,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Ezequiel Tovar,hitter,HR,0.5,575.0,,Caesars,covers,Ezequiel_Tovar,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Ezequiel Tovar,hitter,HR,0.5,620.0,,DraftKings,covers,Ezequiel_Tovar,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Ezequiel Tovar,hitter,HR,0.5,680.0,,FanDuel,covers,Ezequiel_Tovar,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Xander Bogaerts,hitter,HR,0.5,650.0,,BetMGM,covers,Xander_Bogaerts,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Xander Bogaerts,hitter,HR,0.5,700.0,,Caesars,covers,Xander_Bogaerts,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Xander Bogaerts,hitter,HR,0.5,750.0,,DraftKings,covers,Xander_Bogaerts,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Xander Bogaerts,hitter,HR,0.5,790.0,,FanDuel,covers,Xander_Bogaerts,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Brenton Doyle,hitter,HR,0.5,700.0,,BetMGM,covers,Brenton_Doyle,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Brenton Doyle,hitter,HR,0.5,750.0,,Caesars,covers,Brenton_Doyle,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Brenton Doyle,hitter,HR,0.5,900.0,,DraftKings,covers,Brenton_Doyle,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Brenton Doyle,hitter,HR,0.5,880.0,,FanDuel,covers,Brenton_Doyle,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Kyle Karros,hitter,HR,0.5,950.0,,BetMGM,covers,Kyle_Karros,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Kyle Karros,hitter,HR,0.5,850.0,,Caesars,covers,Kyle_Karros,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Kyle Karros,hitter,HR,0.5,1160.0,,DraftKings,covers,Kyle_Karros,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Kyle Karros,hitter,HR,0.5,1040.0,,FanDuel,covers,Kyle_Karros,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Hunter Goodman,hitter,RBI,0.5,175.0,-250.0,BetMGM,covers,Hunter_Goodman,2026-04-10T01:12:42Z,368270,,,,Total RBIs
2026-04-09,Hunter Goodman,hitter,RBI,0.5,121.0,-260.0,Caesars,covers,Hunter_Goodman,2026-04-10T01:12:42Z,368270,,,,Total RBIs
2026-04-09,Hunter Goodman,hitter,RBI,0.5,209.0,-299.0,DraftKings,covers,Hunter_Goodman,2026-04-10T01:12:42Z,368270,,,,Total RBIs
2026-04-09,Hunter Goodman,hitter,RBI,0.5,185.0,,FanDuel,covers,Hunter_Goodman,2026-04-10T01:12:42Z,368270,,,,Total RBIs
